,close
2023-01-03 00:00:00+00:00,238.88
2023-01-04 00:00:00+00:00,241.3
2023-01-05 00:00:00+00:00,240.2
2023-01-06 00:00:00+00:00,248.9
2023-01-07 00:00:00+00:00,248.86
2023-01-08 00:00:00+00:00,Market Close
2023-01-09 00:00:00+00:00,246.62
2023-01-10 00:00:00+00:00,250.51
2023-01-11 00:00:00+00:00,250.99
2023-01-12 00:00:00+00:00,254.65
2023-01-13 00:00:00+00:00,258.46
2023-01-14 00:00:00+00:00,258.59
2023-01-15 00:00:00+00:00,Market Close
2023-01-16 00:00:00+00:00,Market Close
2023-01-17 00:00:00+00:00,256.0
2023-01-18 00:00:00+00:00,252.84
2023-01-19 00:00:00+00:00,246.25
2023-01-20 00:00:00+00:00,250.1
2023-01-21 00:00:00+00:00,251.0
2023-01-22 00:00:00+00:00,Market Close
2023-01-23 00:00:00+00:00,252.6
2023-01-24 00:00:00+00:00,257.2
2023-01-25 00:00:00+00:00,258.88
2023-01-26 00:00:00+00:00,262.12
2023-01-27 00:00:00+00:00,264.54
2023-01-28 00:00:00+00:00,265.9999
2023-01-29 00:00:00+00:00,Market Close
2023-01-30 00:00:00+00:00,261.85
2023-01-31 00:00:00+00:00,252.0
2023-02-01 00:00:00+00:00,252.29
